temperature,humidity,soilhumidity,light,time
31.3,74,0,1270,07:37:38 3/3/2025
31.3,74,0,1414,07:37:57 3/3/2025
31.8,74,0,1693,07:38:14 3/3/2025
31.8,73,0,701,07:38:31 3/3/2025
31.8,73,0,1712,07:38:48 3/3/2025
32.3,73,0,1498,07:39:05 3/3/2025
32.3,72,0,921,07:39:21 3/3/2025
32.7,71,0,1317,07:39:38 3/3/2025
32.8,71,0,977,07:39:55 3/3/2025
32.4,71,0,1126,07:40:12 3/3/2025
32.3,71,0,1321,07:40:29 3/3/2025
32.3,71,0,1319,07:40:46 3/3/2025
31.8,71,0,992,07:41:03 3/3/2025
31.8,71,0,1099,07:41:20 3/3/2025
31.8,71,0,1493,07:41:36 3/3/2025
31.8,72,0,122,07:41:53 3/3/2025
31.8,72,0,117,07:42:10 3/3/2025
32.3,72,0,119,07:42:27 3/3/2025
33.3,71,0,170,07:42:44 3/3/2025
34.2,70,0,153,07:43:00 3/3/2025
35.2,68,0,146,07:43:17 3/3/2025
36.3,66,0,146,07:43:34 3/3/2025
36.9,65,0,171,07:43:51 3/3/2025
38,61,0,511,07:43:56 3/3/2025
38,60,0,131,07:44:13 3/3/2025
37.4,60,0,154,07:44:30 3/3/2025
36.9,60,4.1269841269841265,0,07:44:47 3/3/2025
36.3,62,25.78754578754578,0,07:45:04 3/3/2025
36.9,61,27.252747252747255,0,07:45:21 3/3/2025
37.4,60,0,0,07:45:37 3/3/2025
37.4,59,20.04884004884005,0,07:45:54 3/3/2025
37.4,59,11.575091575091577,0,07:46:11 3/3/2025
36.9,59,13.772893772893767,0,07:46:28 3/3/2025
36.3,60,24.273504273504273,0,07:46:45 3/3/2025
35.6,61,25.079365079365076,0,07:47:02 3/3/2025
35,63,12.039072039072039,0,07:47:19 3/3/2025
34.2,65,22.051282051282044,0,07:47:36 3/3/2025
33.8,66,23.028083028083017,0,07:47:52 3/3/2025
33.3,67,18.168498168498175,0,07:48:09 3/3/2025
33.3,68,13.870573870573864,0,07:48:26 3/3/2025
32.8,69,12.89377289377289,0,07:48:43 3/3/2025
30.2,74,0,1622,07:50:29 3/3/2025
32.3,71,23.80952380952381,0,07:51:18 3/3/2025
32.3,71,23.15018315018314,0,07:51:35 3/3/2025
32.8,71,22.783882783882774,0,07:51:52 3/3/2025
32.8,71,27.4969474969475,0,07:52:09 3/3/2025
32.8,71,30.036630036630044,31,07:52:26 3/3/2025
32.8,70,29.279609279609275,23,07:52:42 3/3/2025
32.8,70,29.548229548229543,29,07:52:59 3/3/2025
32.8,70,29.157509157509153,0,07:53:16 3/3/2025
32.8,70,29.7924297924298,0,07:53:33 3/3/2025
33.3,69,29.7924297924298,0,07:53:50 3/3/2025
33.3,69,29.352869352869348,0,07:54:06 3/3/2025
33.3,69,29.279609279609275,0,07:54:23 3/3/2025
33.3,69,29.108669108669105,0,07:54:40 3/3/2025
33.3,69,30.769230769230774,0,07:54:57 3/3/2025
33.3,69,30.40293040293041,0,07:55:14 3/3/2025
33.8,69,31.20879120879121,0,07:55:31 3/3/2025
34.2,68,31.355311355311358,0,07:55:48 3/3/2025
34.4,68,31.452991452991455,0,07:56:07 3/3/2025
35.2,65,48.81562881562882,19,08:42:48 3/3/2025
35.6,65,48.6935286935287,25,08:43:44 3/3/2025
36.4,63,41.36752136752136,16,08:44:01 3/3/2025
36.9,61,30.036630036630044,31,08:44:18 3/3/2025
36.9,61,29.25518925518925,32,08:44:35 3/3/2025
36.9,60,28.449328449328448,0,08:44:52 3/3/2025
36.9,60,29.181929181929178,7,08:45:08 3/3/2025
36.9,59,28.473748473748472,31,08:45:25 3/3/2025
36.9,60,28.86446886446886,5,08:45:42 3/3/2025
36.3,60,29.59706959706959,16,08:45:59 3/3/2025
36.3,60,30.720390720390725,0,08:46:15 3/3/2025
36.3,60,30.13431013431014,23,08:46:32 3/3/2025
36.3,60,30.085470085470092,30,08:46:49 3/3/2025
36.3,60,29.890109890109898,23,08:47:06 3/3/2025
36.3,60,29.352869352869348,51,08:47:23 3/3/2025
36.3,60,29.499389499389494,48,08:47:39 3/3/2025
36.3,60,29.25518925518925,15,08:47:56 3/3/2025
36.9,60,29.206349206349202,62,08:48:13 3/3/2025
36.9,60,30.427350427350433,48,08:48:30 3/3/2025
35.6,64,37.875457875457876,0,09:17:42 3/3/2025
40.6,55,37.55799755799756,0,09:18:01 3/3/2025
40.6,53,36.31257631257632,0,09:18:18 3/3/2025
40.6,52,37.04517704517705,0,09:18:36 3/3/2025
40.6,53,36.01953601953603,0,09:18:53 3/3/2025
40.6,53,33.60195360195361,0,09:19:11 3/3/2025
40.6,53,32.79609279609279,0,09:19:27 3/3/2025
41.1,54,35.14041514041514,0,09:19:44 3/3/2025
41.1,54,34.77411477411478,0,09:20:01 3/3/2025
41.6,53,34.993894993895,0,09:20:18 3/3/2025
41.6,52,35.16483516483517,0,09:20:35 3/3/2025
41.6,52,34.749694749694754,0,09:20:52 3/3/2025
41.6,52,35.7997557997558,0,09:21:09 3/3/2025
41.6,51,36.36141636141637,0,09:21:26 3/3/2025
41.1,51,35.92185592185592,0,09:21:42 3/3/2025
40.1,52,34.67643467643468,0,09:21:59 3/3/2025
39.5,54,35.57997557997558,0,09:22:16 3/3/2025
39.5,54,34.40781440781441,9,09:22:33 3/3/2025
39.5,55,35.23809523809524,0,09:22:49 3/3/2025
39,56,36.1904761904762,0,09:23:06 3/3/2025
39.5,56,35.042735042735046,0,09:23:23 3/3/2025
40.1,55,35.21367521367522,12,09:23:40 3/3/2025
40.1,54,35.16483516483517,0,09:23:57 3/3/2025
40.1,53,34.700854700854705,0,09:24:14 3/3/2025
40.2,53,34.48107448107449,0,09:24:30 3/3/2025
40.6,53,35.53113553113553,0,09:24:47 3/3/2025
40.6,54,35.995115995115995,0,09:25:04 3/3/2025
43,48,0,11,09:33:56 3/3/2025
43,48,38.29059829059829,0,09:34:15 3/3/2025
43,47,38.8034188034188,0,09:34:32 3/3/2025
42.5,48,38.68131868131868,0,09:34:48 3/3/2025
42,48,38.41269841269841,0,09:35:05 3/3/2025
41.6,48,38.51037851037851,25,09:35:22 3/3/2025
41.6,49,38.21733821733822,0,09:35:39 3/3/2025
41.6,49,38.38827838827839,0,09:35:56 3/3/2025
41.1,49,38.144078144078144,0,09:36:13 3/3/2025
41.1,50,38.24175824175824,15,09:36:30 3/3/2025
41.1,50,38.21733821733822,0,09:36:47 3/3/2025
41.1,50,38.19291819291819,26,09:37:03 3/3/2025
41.6,50,37.875457875457876,0,09:37:20 3/3/2025
42,49,38.11965811965812,0,09:37:37 3/3/2025
42,49,37.875457875457876,0,09:37:54 3/3/2025
42,49,38.19291819291819,0,09:38:11 3/3/2025
42,49,37.704517704517706,0,09:38:28 3/3/2025
42,49,37.50915750915751,0,09:38:45 3/3/2025
42,49,37.704517704517706,0,09:39:01 3/3/2025
42.1,49,37.50915750915751,0,09:39:18 3/3/2025
42.5,48,37.50915750915751,0,09:39:35 3/3/2025
42.5,48,38.876678876678874,0,09:39:52 3/3/2025
42.5,48,37.704517704517706,0,09:40:09 3/3/2025
42.1,48,37.60683760683761,0,09:40:25 3/3/2025
42.5,48,37.63125763125763,25,09:40:44 3/3/2025
42.5,48,37.50915750915751,0,09:41:01 3/3/2025
42.5,48,37.50915750915751,26,09:41:18 3/3/2025
43,47,37.50915750915751,0,09:41:35 3/3/2025
42.5,48,37.50915750915751,16,09:41:52 3/3/2025
42.5,48,36.75213675213676,0,09:42:08 3/3/2025
43,47,37.50915750915751,3,09:42:25 3/3/2025
42.7,48,37.82661782661783,0,09:42:42 3/3/2025
43,47,36.87423687423688,21,09:42:59 3/3/2025
43,47,37.704517704517706,38,09:43:15 3/3/2025
43,46,37.50915750915751,45,09:43:32 3/3/2025
43.5,47,37.68009768009768,0,09:43:49 3/3/2025
43.5,46,37.50915750915751,0,09:44:06 3/3/2025
43.9,45,35.67765567765568,0,09:45:10 3/3/2025
44.4,43,34.50549450549451,0,09:49:12 3/3/2025
38,53,33.968253968253975,0,09:53:14 3/3/2025
40.6,47,33.455433455433464,0,09:57:16 3/3/2025
41.6,46,34.72527472527473,0,10:01:18 3/3/2025
38.5,52,34.993894993895,0,10:05:20 3/3/2025
39,50,33.91941391941393,0,10:08:24 3/3/2025
40.6,44,34.60317460317461,0,10:18:23 3/3/2025
41.6,43,30.793650793650798,0,10:21:26 3/3/2025
43.8,38,34.188034188034194,0,10:24:28 3/3/2025
43.5,38,28.96214896214896,0,10:33:41 3/3/2025
44.8,36,29.230769230769226,0,10:36:45 3/3/2025
44.8,36,29.206349206349202,0,10:45:58 3/3/2025
43,38,28.35164835164835,0,10:49:03 3/3/2025
43.5,37,30.769230769230774,0,10:52:07 3/3/2025
39,46,29.768009768009776,0,10:55:08 3/3/2025
35.6,55,28.424908424908423,0,11:04:22 3/3/2025
35.6,54,23.711843711843713,0,11:07:26 3/3/2025
41.1,44,29.719169719169727,48,11:10:30 3/3/2025
44.4,37,28.13186813186813,27,11:13:32 3/3/2025
43.9,38,30.40293040293041,34,11:16:34 3/3/2025
43,40,31.111111111111114,48,11:19:36 3/3/2025
40.1,45,31.6971916971917,65,11:22:38 3/3/2025
37.4,50,31.233211233211236,73,11:25:39 3/3/2025
37.7,51,31.526251526251528,28,11:28:41 3/3/2025
36.9,52,31.233211233211236,36,11:31:43 3/3/2025
36.9,51,32.405372405372404,67,11:47:07 3/3/2025
36.3,52,33.43101343101344,95,11:50:10 3/3/2025
36.9,52,32.6007326007326,93,11:53:12 3/3/2025
37.4,50,32.405372405372404,43,11:56:14 3/3/2025
36.9,52,32.86935286935288,98,11:59:16 3/3/2025
37.4,50,32.91819291819293,81,12:02:18 3/3/2025
36.8,52,32.42979242979243,71,12:05:19 3/3/2025
37.4,51,32.405372405372404,62,12:08:21 3/3/2025
36.9,51,32.64957264957265,67,12:11:23 3/3/2025
37.4,52,32.79609279609279,90,12:14:25 3/3/2025
37.4,51,32.47863247863248,103,12:17:26 3/3/2025
38,49,32.405372405372404,103,12:20:28 3/3/2025
38,49,32.25885225885226,82,12:23:30 3/3/2025
38,49,32.62515262515262,80,12:26:32 3/3/2025
36.9,52,32.91819291819293,64,12:29:34 3/3/2025
37.4,51,33.113553113553124,77,12:32:35 3/3/2025
38,49,32.79609279609279,96,12:35:39 3/3/2025
36.9,50,32.91819291819293,90,12:38:42 3/3/2025
36.9,51,33.1868131868132,64,12:41:44 3/3/2025
37.4,51,33.01587301587303,130,12:44:46 3/3/2025
37.4,50,32.844932844932856,91,12:47:48 3/3/2025
37.4,51,33.01587301587303,70,12:50:50 3/3/2025
37.4,52,33.113553113553124,73,12:53:51 3/3/2025
36.9,52,32.67399267399267,90,12:56:53 3/3/2025
37.4,53,32.79609279609279,83,12:59:55 3/3/2025
37.4,50,33.284493284493294,81,13:02:57 3/3/2025
37.4,50,33.1868131868132,149,13:05:59 3/3/2025
37.4,51,33.406593406593416,118,13:09:00 3/3/2025
37.3,52,32.82051282051283,85,13:12:02 3/3/2025
37.4,50,33.21123321123322,111,13:15:04 3/3/2025
37.4,52,35.92185592185592,134,13:24:20 3/3/2025
36.9,52,35.7997557997558,108,13:27:24 3/3/2025
35.6,54,32.698412698412696,112,13:30:25 3/3/2025
35.6,55,32.91819291819293,114,13:33:27 3/3/2025
36.4,54,33.577533577533586,70,13:36:29 3/3/2025
36.3,54,33.35775335775337,89,13:39:31 3/3/2025
36.3,53,33.0891330891331,174,13:54:54 3/3/2025
36.3,54,33.992673992674,187,13:57:58 3/3/2025
35.6,55,33.43101343101344,167,14:01:00 3/3/2025
36.3,55,33.455433455433464,112,14:04:02 3/3/2025
36.9,55,33.1868131868132,103,14:13:15 3/3/2025
36.9,54,32.79609279609279,115,14:16:20 3/3/2025
36.3,56,33.992673992674,91,14:19:23 3/3/2025
36.9,56,32.79609279609279,110,14:22:25 3/3/2025
36.9,57,33.91941391941393,133,14:31:38 3/3/2025
36.3,57,30.720390720390725,154,14:34:42 3/3/2025
36.3,58,31.86813186813187,145,14:50:05 3/3/2025
35.6,59,32.844932844932856,176,14:53:10 3/3/2025
36.3,59,32.64957264957265,123,14:56:14 3/3/2025
35.6,59,32.62515262515262,130,14:59:16 3/3/2025
35.6,59,29.84126984126985,143,15:02:17 3/3/2025
36.3,59,29.694749694749703,170,15:05:19 3/3/2025
36.3,59,30.036630036630044,163,15:08:21 3/3/2025
36.3,59,29.352869352869348,208,15:11:23 3/3/2025
35.6,60,29.987789987789995,194,15:14:25 3/3/2025
35.6,60,30.40293040293041,173,15:17:27 3/3/2025
35.2,60,30.427350427350433,176,15:20:28 3/3/2025
35.2,61,28.57142857142857,213,15:23:30 3/3/2025
